Tamb,I,Tcoolant_in,mass_flowrate_optimal
35.0,1072,25.611906470829428,0.0001
35.6,989,25.774683330431657,0.0001
35.7,853,23.643019714729483,0.0001
35.300000000000004,671,29.844753050524904,0.0001
34.4,456,23.842409725201623,0.004140816326530613
31.9,235,28.70662465962996,0.001312244897959184
22.200000000000003,137,24.32309445127748,0.0001
25.700000000000003,346,25.432455559406026,0.0001
29.3,563,18.8897701163598,0.0035346938775510208
32.300000000000004,760,24.81696198745417,0.0001
34.5,919,25.27775920516553,0.0001
36.1,1027,24.294707419942938,0.0001
37.3,1074,27.444714518324094,0.0001
38.0,1057,24.78940508586594,0.001312244897959184
38.3,982,24.038353363119477,0.0001
38.3,847,21.279596530279107,0.0001
37.7,664,26.437357090776334,0.0001
36.6,453,26.059149402953715,0.004140816326530613
33.800000000000004,233,24.66745756505354,0.004342857142857144
21.5,141,26.49094236077059,0.0001
25.200000000000003,355,26.880382764092086,0.0001
29.1,574,23.08651101881681,0.0001
32.5,773,31.52783634514484,0.0001
35.300000000000004,933,21.339622293309496,0.0001
37.3,1041,28.0115508300723,0.0001
38.6,1089,25.641237672990606,0.0001
39.400000000000006,1069,23.221710030332517,0.0001
39.7,981,25.785181761058055,0.0001
39.6,843,23.89128831007995,0.0001
39.0,662,19.40818774235568,0.0001
37.8,451,25.757961790696157,0.004544897959183674
34.7,234,24.745134964544526,0.004746938775510205
23.0,135,23.45970672253766,0.0001
26.700000000000003,343,24.57422525592138,0.0001
30.9,557,25.51181104582578,0.0001
34.1,751,23.16819909968164,0.002726530612244898
36.3,908,26.12298116158792,0.0001
37.9,1017,22.348780373710316,0.0001
39.0,1067,21.102218053154207,0.0001
39.7,1048,24.316466104549338,0.0001
40.1,966,21.4558013070599,0.0001
39.8,832,29.845159989657006,0.0001
38.900000000000006,653,25.08709227098019,0.0001
37.3,442,20.158489731621703,0.005757142857142858
34.6,227,21.79953642614208,0.005353061224489797
23.4,133,24.50272270681079,0.0001
27.200000000000003,344,26.825428213732295,0.0001
31.1,561,22.38208612821766,0.002726530612244898
33.6,758,25.340199205210194,0.0001
35.5,916,21.98389692918341,0.0001
37.0,1022,25.274840512382752,0.0001
38.0,1068,22.004498915027934,0.0001
38.8,1050,22.18743885130307,0.0001
39.2,972,28.92671461873438,0.0001
39.2,837,28.89914746630543,0.0001
38.6,656,25.24451380947618,0.0001
37.6,446,29.34010953156803,0.003130612244897959
35.0,227,27.168986628105163,0.004140816326530613
23.8,130,21.13953307168367,0.002120408163265306
27.6,339,21.22549497234107,0.002928571428571429
31.6,555,29.264784530613575,0.0001
34.300000000000004,752,26.47879884032149,0.0001
36.1,911,21.777407366782807,0.0001
37.5,1018,25.90210324291696,0.0001
38.3,1065,25.246263312601517,0.0001
38.8,1048,24.864209282652787,0.002322448979591837
38.900000000000006,967,29.95207342757961,0.0001
38.5,832,27.163270747225106,0.002322448979591837
37.8,650,23.423724906351328,0.0001
36.5,440,25.0574533508373,0.004342857142857144
33.9,224,22.879226850912797,0.004948979591836736
25.9,122,25.761903325162653,0.0001
29.5,324,27.93081104311966,0.0001
32.9,536,27.22359238518237,0.0001
35.4,729,23.708919699656622,0.0001
37.2,885,21.746387663253824,0.0001
38.6,990,27.073811374142768,0.0001
39.6,1037,21.080272782954722,0.0001
40.3,1023,25.40732205620284,0.0001
40.8,947,22.155414227753734,0.0001
40.8,815,20.793920278181847,0.0001
40.7,639,25.499369402293503,0.0001
39.7,435,22.907018795173475,0.005555102040816327
37.7,222,27.22713714168427,0.004746938775510205
30.0,125,26.315597065412646,0.002928571428571429
33.4,329,24.540504838464553,0.003938775510204082
36.7,541,22.215652108368946,0.0001
39.400000000000006,735,24.545756306612343,0.0001
41.1,892,26.694571225067946,0.0001
42.2,999,25.450683505804772,0.0001
43.0,1047,29.585791372307774,0.0017163265306122451
43.400000000000006,1030,23.76600566058331,0.0001
43.5,951,20.52651988422781,0.0001
43.3,821,24.58236381163666,0.0001
42.8,645,23.327368106253612,0.0001
41.900000000000006,440,25.093817563360002,0.005555102040816327
39.400000000000006,227,23.344706186590592,0.005959183673469389
31.8,123,27.43250648943799,0.00333265306122449
35.2,326,22.89317381250079,0.004948979591836736
38.6,537,28.923225485496495,0.00333265306122449
41.400000000000006,730,27.054860514809576,0.0001
43.0,884,23.040584481332566,0.0001
44.1,988,22.248644136816754,0.0001
44.8,1035,26.0482823762409,0.0001
45.2,1021,22.91612375375343,0.0001
45.2,945,24.76703050945028,0.0001
45.0,813,21.6196419620007,0.0001
44.3,639,26.269166681924364,0.0001
43.3,434,26.42925653037172,0.005757142857142858
40.6,222,23.433616248320753,0.006161224489795919
32.300000000000004,118,27.83227450556169,0.00333265306122449
35.4,317,22.85456229264002,0.004948979591836736
38.900000000000006,526,24.48544851272768,0.0001
42.0,717,23.028867619947835,0.0001
43.900000000000006,875,26.06042666418958,0.0001
45.2,982,24.37981382904275,0.0001
46.0,1030,21.41623644215754,0.0001
46.400000000000006,1015,29.5687024316831,0.0001
